"EntityId","NeId","NeAlias","NeType","EntityType","Time","Failure","C_Avg_Value","C_Max_Value","C_Min_Value","C_from0to5_Value","C_from5to10_Value","C_from10to15_Value","C_from15to20_Value","C_from20to25_Value","C_from25to30_Value","C_from30to35_Value","C_from35to40_Value","C_from40to45_Value","C_from45to50_Value","C_from50to55_Value","C_from55to60_Value","C_from60to65_Value","C_from65to70_Value","C_from70to75_Value","C_from75to80_Value","C_from80to85_Value","C_from85to90_Value","C_from90to95_Value","C_from95to100_Value","ElementID"
EN-0-16849-1-0-11-9-102-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-04 00:00:00.000,Success,2253.0,8463.0,737.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-102-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-103-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-03 23:30:00.000,Success,12613.0,28369.0,9544.0,774.0,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-103-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-103-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-03 23:45:00.000,Success,12047.0,25859.0,8719.0,805.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-103-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-103-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-04 00:00:00.000,Success,11559.0,18111.0,7790.0,857.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-103-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-104-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-03 23:30:00.000,Success,1645.0,3634.0,697.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-104-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-104-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-03 23:45:00.000,Success,1743.0,4333.0,569.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-104-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-104-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-04 00:00:00.000,Success,1760.0,3416.0,786.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-104-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-100-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-03 23:30:00.000,Success,1006.0,11558.0,0.0,894.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-100-0-0-0-0-35-0)
EN-0-16849-1-0-11-9-100-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-03 23:45:00.000,Success,604.0,8671.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-100-0-0-0-0-35-0)
EN-0-16849-1-0-11-9-100-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-04 00:00:00.000,Success,518.0,4717.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-100-0-0-0-0-35-0)
